problem_id,baseline,exp_1,exp_2,exp_3,exp_4,exp_5
0,0,0,0,0,0,0
1,0,0,3,1,1,0
2,0,0,0,0,0,0
3,0,2,1,2,1,0
4,0,0,4,0,0,1
5,0,0,0,0,0,0
6,0,0,1,1,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,1,1,1,1
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,1,1,0,0
17,0,2,3,2,3,3
18,0,5,5,3,2,5
19,0,0,1,0,1,0
