problem_id,baseline,exp_1,exp_2,exp_3,exp_4,exp_5
1.0,0,0,3,1,1,0
3.0,0,2,1,2,1,0
4.0,0,0,4,0,0,1
6.0,0,0,1,1,0,0
7.0,1,1,5,3,5,2
8.0,1,5,5,5,5,5
9.0,1,5,5,3,4,5
10.0,0,0,1,1,1,1
12.0,1,4,2,0,5,4
14.0,1,5,5,5,5,5
15.0,1,4,5,5,5,5
16.0,0,0,1,1,0,0
17.0,0,2,3,2,3,3
18.0,0,5,5,3,2,5
19.0,0,0,1,0,1,0
